Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1844714795,2167501640,2379716827
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.53E+12,1.65E+12,1.71E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.32E+12,1.46E+12,1.63E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,6.70E+11,6.79E+11,7.06E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.50E+11,2.78E+11,2.98E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1.11E+13,1.21E+13,1.36E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,35296979104,38053610009,43007045466
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,32621535419,34922782311,38502059858
Democratic Republic of the Congo,COD,GDP (current US$),NY.GDP.MKTP.CD,37134799974,38019265626,47227535291
Republic of Congo,COG,GDP (current US$),NY.GDP.MKTP.CD,9035848071,8701334800,11263682694
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,2.83E+11,3.12E+11,3.30E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1024261821,1068124330,1203080508
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1662998678,1771235958,1986928612
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,57157995873,58174550212,60126014829
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,67183921136,69074812658,72930271173
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,91370000000,96851000000,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3122287933,3116610112,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,,3570575151,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,20453761062,22141864999,24469841832
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1.95E+11,2.16E+11,2.44E+11
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.50E+12,3.69E+12,4.00E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1764268469,1844674435,1965982322
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,575468234.4,496726248.5,503646211.1
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.12E+11,3.30E+11,3.51E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,72342967648,75931656815,81298585403
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1.60E+11,1.68E+11,1.81E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1.35E+13,1.46E+13,1.63E+13
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1.05E+13,1.14E+13,1.16E+13
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2.24E+13,2.39E+13,2.59E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,2.96E+12,3.32E+12,3.39E+12
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2.04E+13,2.15E+13,2.30E+13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,99937696000,1.04E+11,1.08E+11
Egypt,EGY,GDP (current US$),NY.GDP.MKTP.CD,3.33E+11,2.35E+11,2.51E+11
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1.20E+13,1.26E+13,1.37E+13
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.24E+12,1.31E+12,1.43E+12
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,23984296771,26611651599,30284890757
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,74271281811,81716326731,84355462494
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1.66E+13,1.73E+13,1.87E+13
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,7.43E+11,8.29E+11,8.32E+11
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2.39E+11,2.52E+11,2.76E+11
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,4926740194,5270335185,5479504926
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2.47E+12,2.59E+12,2.78E+12
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2689157271,,
Federated States of Micronesia,FSM,GDP (current US$),NY.GDP.MKTP.CD,329895600,336427500,344501760
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14014369642,14892609693,17017401832
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.66E+12,2.64E+12,2.83E+12
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,14378036929,15081330942,16209818081
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,55009730589,58996776244,65556464056
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,,,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,8604520929,9915311049,10989790256
Gambia,GMB,GDP (current US$),NY.GDP.MKTP.CD,1442298542,1489464788,1624464137
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1178204501,1346841897,1458156026
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,11233177619,12289913729,13317453070
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1.95E+11,2.03E+11,2.18E+11
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1061631222,1126882296,1207454556
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,2713534471,,
Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,68663653469,75620095538,78460447920
Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,5793000000,5859000000,
Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,3504024213,3555205811,3610435299
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,4.88E+13,5.10E+13,5.41E+13
Hong Kong (SAR of China),HKG,GDP (current US$),NY.GDP.MKTP.CD,3.21E+11,3.42E+11,3.63E+11
Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,21566622850,22940179174,23803230473
Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,6.77E+11,7.52E+11,7.26E+11
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,51623429121,55201417479,60805659436
Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,7975563430,8408252995,9658084644
Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1.26E+11,1.40E+11,1.56E+11
IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,2.60E+13,2.86E+13,3.05E+13
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,2.80E+13,3.08E+13,3.27E+13
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2.05E+12,2.16E+12,2.21E+12
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,9.50E+11,9.42E+11,9.91E+11
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,9.32E+11,1.02E+12,1.04E+12
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1.10E+12,1.22E+12,1.22E+12
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,6592627599,,
India,IND,GDP (current US$),NY.GDP.MKTP.CD,2.29E+12,2.65E+12,2.73E+12
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,,,
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,3.02E+11,3.31E+11,3.76E+11
Iran,IRN,GDP (current US$),NY.GDP.MKTP.CD,4.19E+11,4.54E+11,
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,1.70E+11,1.93E+11,2.26E+11
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,20716024757,24489493459,25878475760
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,3.19E+11,3.53E+11,3.70E+11
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,1.87E+12,1.95E+12,2.07E+12
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,14072135209,14781107822,15717858487
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,39252468265,40765867419,42290832158
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4.93E+12,4.86E+12,4.97E+12
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,1.37E+11,1.63E+11,1.71E+11
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,69188755511,78757391333,87908262520
Kyrgyzstan,KGZ,GDP (current US$),NY.GDP.MKTP.CD,6813092066,7702934800,8092836609
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,20016747754,22177200512,24571753583
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,178328873,185572501.5,188284518.8
St Kitts & Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,958973183.2,992007403.1,1039875050
Republic of Korea,KOR,GDP (current US$),NY.GDP.MKTP.CD,1.41E+12,1.53E+12,1.62E+12
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,1.09E+11,1.20E+11,1.42E+11
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,4.86E+12,5.41E+12,5.19E+12
Laos,LAO,GDP (current US$),NY.GDP.MKTP.CD,15805707154,16853087485,18130724396
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,51239050083,53393799668,56639155556
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,3277826000,3285455000,3249000000
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,26221660068,38115981879,48319620013
St Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,1688244704,1810139889,1876189778
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,5.39E+12,5.97E+12,5.79E+12
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,9.60E+11,1.08E+12,1.05E+12
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,4.94E+11,5.27E+11,5.72E+11
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,6214633651,,
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,82401038710,88019706804,88900770858
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,6.02E+12,6.52E+12,6.71E+12
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,2.73E+13,2.99E+13,3.17E+13
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2323419617,2578265356,2791762880
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,1.84E+13,2.04E+13,2.22E+13
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,42973365745,47544459559,53251369047
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,58961235412,62316359824,69487922619
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,27695474684,30463302414,34849078086
Macau (SAR of China),MAC,GDP (current US$),NY.GDP.MKTP.CD,45322259884,50559431846,54545184268
St Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,,,
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,1.03E+11,1.10E+11,1.18E+11
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,6468252212,6400946586,
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,8071480541,9669759987,11309082555
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,9958655045,11465850504,12100459087
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4414055725,4865546026,5272288443
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,3.15E+12,3.28E+12,3.62E+12
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1.08E+12,1.16E+12,1.22E+12
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,194497900,204173400,211523642.4
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,2.68E+13,2.94E+13,3.11E+13
FYR Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,10672471861,11279509014,12672131053
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,14010787738,15339614407,17196688920
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,11442612409,12748803180,14542039605
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,63256184700,66719084836,71214803378
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1.45E+12,1.44E+12,
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4374128319,4844592067,5452173041
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,11186734674,11433635876,13009574621
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1250000000,1593000000,
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,10896894351,12651912500,14457964381
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,4727937032,4975432191,5365868725
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12232463656,13259351418,14220348673
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,5433040160,6303292264,7064971176
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,2.97E+11,3.15E+11,3.54E+11
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,2.02E+13,2.11E+13,2.22E+13
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11286139080,13566192143,14521711630
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,,,
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7528285444,8119710126,9239513530
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,4.05E+11,3.76E+11,3.97E+11
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,13286093197,13843586680,13117859222
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,7.84E+11,8.31E+11,9.13E+11
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,3.71E+11,3.99E+11,4.35E+11
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,21185922408,24880266905,28812491892
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,102055047.9,113880715.2,114718022.8
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,1.88E+11,2.03E+11,2.05E+11
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,4.78E+13,4.98E+13,5.26E+13
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,65941482445,70783875163,79294928479
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,3.66E+11,4.05E+11,4.52E+11
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,2.79E+11,3.05E+11,3.13E+11
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,57957600000,62283800000,65055100000
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,1.92E+11,2.11E+11,2.22E+11
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,3.05E+11,3.14E+11,3.31E+11
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,303984500,289823500,310111145
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,20759048835,22277692409,23431596214
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,4.72E+11,5.26E+11,5.86E+11
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1.22E+12,1.30E+12,1.31E+12
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,1.04E+11,1.04E+11,1.01E+11
"Korea, Dem. People’s Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,,,
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,2.06E+11,2.19E+11,2.38E+11
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,36054281572,39008900332,40842341774
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,13425700000,14498100000,14615900000
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,9280440562,9883385374,10302802236
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,4.54E+13,4.73E+13,5.00E+13
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,,,
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,1.52E+11,1.67E+11,1.92E+11
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,1.88E+11,2.11E+11,2.40E+11
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1.28E+12,1.58E+12,1.66E+12
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,8475681533,9135454442,9509003197
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,2.92E+12,3.35E+12,3.46E+12
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,6.45E+11,6.89E+11,7.82E+11
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,95558220777,1.23E+11,40851536134
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,19027392876,21081669870,24129599552
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,3.18E+11,3.38E+11,3.64E+11
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1232699140,1321131091,1411904531
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,3674794530,3739577973,3999945202
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,24154120000,24927970000,26056950000
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1564380531,1632860041,
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,6839998517,7128000000,7484000000
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,40630392019,44120424392,50508366850
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,1.54E+12,1.68E+12,1.70E+12
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,3070885014,,
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1.55E+12,1.68E+12,1.70E+12
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,4.43E+11,4.84E+11,5.36E+11
Sao Tome & Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,347545391.8,375040173.8,422296762.3
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,3167164371,3068766110,3427269682
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,89848359305,95617670260,1.06E+11
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,44641210338,48455919386,54235484383
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,5.12E+11,5.36E+11,5.51E+11
Swaziland,SWZ,GDP (current US$),NY.GDP.MKTP.CD,3817430000,4433664364,4703787507
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,,,
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,1427524565,1503168690,1590180446
Syria,SYR,GDP (current US$),NY.GDP.MKTP.CD,,,
Turks & Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,950357510,962525840,1022312010
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10090922857,9975692095,11302544205
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,1.34E+13,1.46E+13,1.62E+13
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,3.48E+12,3.90E+12,4.04E+12
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,4414908597,4765866980,5300214337
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,4.12E+11,4.55E+11,5.05E+11
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,6952678127,7157865188,7522947810
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,36180000000,37926285714,40761142857
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,5.15E+12,5.73E+12,5.56E+12
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2503532102,2487269437,2581000000
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1.44E+12,1.42E+12,
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,401109307.4,430174168.7,450353313.9
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,2.92E+12,3.35E+12,3.46E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,1.55E+12,1.68E+12,1.70E+12
Trinidad & Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,21746391333,22250455019,23410353435
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,41808379888,39952095561,39860715814
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,8.64E+11,8.52E+11,7.67E+11
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,36547419.87,40620557.13,42587778.47
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,49774021003,53320625959,57437073927
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,24133664285,25995031850,27476945526
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,93355993629,1.12E+11,1.31E+11
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,2.07E+13,2.29E+13,2.44E+13
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,52687612262,56488991831,59596885024
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,1.87E+13,1.95E+13,2.05E+13
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,81779019096,59159949231,50499920318
St Vincent & Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,770762204.1,785222509.1,813093984.1
Venezuela,VEN,GDP (current US$),NY.GDP.MKTP.CD,,,
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,,,
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,3863000000,3855000000,
Vietnam,VNM,GDP (current US$),NY.GDP.MKTP.CD,2.05E+11,2.24E+11,2.45E+11
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,787942567.4,849708342.7,887817896.3
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,7.61E+13,8.09E+13,8.58E+13
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,786640012.2,841538413,861494700.7
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,6714712389,7227764977,7900268736
Yemen,YEM,GDP (current US$),NY.GDP.MKTP.CD,30968242968,26818703093,26914402224
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,2.96E+11,3.49E+11,3.66E+11
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,20954754378,25868142077,26720073436
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,20548678100,22813010116,31000519447
